,TIMESTAMP,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PRICE,OPTION_TYPE,MARKET_TYPE,OPENING_PRICE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREV_CLS,SETTLE_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,OPEN_INT,CHANGE_IN_OI,MARKET_LOT,UNDERLYING_VALUE,Ticker,Asset Type
2310,25-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,5928.8,5942.45,5887,5918,5915.7,5917.8,5918,81950,484875402.5,597200,11800,50,5854.75,NIFTY,Index
2311,25-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5868.75,5899,5822,5857.8,5851.4,5853.95,5857.8,12313700,72109838855,15831200,-729000,50,5854.75,NIFTY,Index
2312,25-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5902,5912.4,5853.95,5893.15,5884,5885,5893.15,3364500,19813188737.5,4394750,1685050,50,5854.75,NIFTY,Index
2313,22-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,5900,5945,5900,5917.8,5919,5917.5,5917.8,58750,348048292.5,585400,3850,50,5850.3,NIFTY,Index
2314,22-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5825.55,5883.25,5825,5853.95,5856.8,5853.45,5853.95,8274600,48501651410,16560200,386350,50,5850.3,NIFTY,Index
2315,22-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5870,5913,5870,5885,5887.35,5883.7,5885,987250,5816809460,2709700,18550,50,5850.3,NIFTY,Index
2316,21-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,5991.05,5995,5910.1,5917.5,5910.95,6023.45,5917.5,116550,692888995,581550,14550,50,5852.25,NIFTY,Index
2317,21-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5929,5939,5846.6,5853.45,5850.25,5963.85,5853.45,12673350,74613079365,16173850,114800,50,5852.25,NIFTY,Index
2318,21-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5960,5960,5876.4,5883.7,5881.9,5992.8,5883.7,1260600,7456379067.5,2691150,288100,50,5852.25,NIFTY,Index
2319,20-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6028,6033.35,6011.55,6023.45,6025.05,6015.85,6023.45,46350,279145105,567000,18200,50,5943.05,NIFTY,Index
2320,20-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5970.25,5974.4,5948.1,5963.85,5964.3,5953.4,5963.85,6628750,39517321595,16059050,213850,50,5943.05,NIFTY,Index
2321,20-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5998.45,6005.35,5980,5992.8,5993.5,5983.65,5992.8,482900,2892944865,2403050,218950,50,5943.05,NIFTY,Index
2322,19-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,5965.55,6022.25,5953,6015.85,6021,5966.6,6015.85,74300,444916737.5,548800,20400,50,5939.7,NIFTY,Index
2323,19-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5906.5,5961,5888.2,5953.4,5960,5904.6,5953.4,7786700,46110114127.5,15845200,428000,50,5939.7,NIFTY,Index
2324,19-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5935.5,5990.75,5920.25,5983.65,5989.45,5934.8,5983.65,514600,3064941147.5,2184100,217300,50,5939.7,NIFTY,Index
2325,18-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,5958,5983.25,5947.25,5966.6,5967.3,5955.45,5966.6,40400,241052622.5,528400,8650,50,5898.2,NIFTY,Index
2326,18-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5895,5921.25,5884.15,5904.6,5906.5,5892.65,5904.6,5252250,31009652122.5,15417200,616300,50,5898.2,NIFTY,Index
2327,18-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5926,5951,5915.6,5934.8,5937,5923.85,5934.8,310050,1840392112.5,1966800,103950,50,5898.2,NIFTY,Index
2328,15-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,5966.65,5970,5924,5955.45,5946,5965.9,5955.45,67950,404233890,519750,16250,50,5887.4,NIFTY,Index
2329,15-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5889.7,5909,5858.65,5892.65,5884.1,5900.2,5892.65,10391000,61144355637.5,14800900,740650,50,5887.4,NIFTY,Index
2330,15-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5924.95,5939,5884.4,5923.85,5916.85,5931.85,5923.85,550600,3256047345,1862850,70850,50,5887.4,NIFTY,Index
2331,14-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6004.35,6011,5956,5965.9,5962,5999.45,5965.9,78300,468574972.5,503500,26050,50,5896.95,NIFTY,Index
2332,14-Feb-2013,FUTIDX,NIFTY,28-Feb-2013,0,XX,N,5941.9,5950.2,5889.05,5900.2,5895.25,5936.55,5900.2,8983400,53183513027.5,14060250,649100,50,5896.95,NIFTY,Index
2333,14-Feb-2013,FUTIDX,NIFTY,28-Mar-2013,0,XX,N,5971.8,5979,5922.65,5931.85,5928.2,5965.6,5931.85,537500,3197695365,1792000,83300,50,5896.95,NIFTY,Index
2334,13-Feb-2013,FUTIDX,NIFTY,25-Apr-2013,0,XX,N,6010.4,6040,5991.45,5999.45,6000,6002.65,5999.45,144700,871749367.5,477450,92000,50,5932.95,NIFTY,Index
