,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,Ticker,Asset Type
233,NIFTYBEES,EQ,19-Jul-2024,275.51,276.48,276.48,273.0,273.61,273.29,273.99,"33,24,928","91,10,06,650.68","46,919","20,85,268",62.72,NIFTYBEES,ETF
234,NIFTYBEES,EQ,22-Jul-2024,273.29,273.3,273.99,271.11,272.68,272.45,272.75,"30,06,223","81,99,57,523.82","53,285","17,35,059",57.72,NIFTYBEES,ETF
235,NIFTYBEES,EQ,23-Jul-2024,272.45,272.75,273.5,268.11,272.55,272.64,271.5,"48,76,326","1,32,39,39,844.25","57,933","27,34,682",56.08,NIFTYBEES,ETF
236,NIFTYBEES,EQ,24-Jul-2024,272.64,272.77,272.78,270.75,272.35,271.89,271.75,"25,48,487","69,25,50,311.15","37,408","14,43,337",56.64,NIFTYBEES,ETF
237,NIFTYBEES,EQ,25-Jul-2024,271.89,270.78,272.3,269.28,272.01,271.92,271.12,"23,19,944","62,89,72,572.92","32,272","15,34,869",66.16,NIFTYBEES,ETF
238,NIFTYBEES,EQ,26-Jul-2024,271.92,272.3,276.25,271.5,276.0,276.06,274.81,"32,23,740","88,59,04,325.09","29,390","21,39,427",66.36,NIFTYBEES,ETF
239,NIFTYBEES,EQ,29-Jul-2024,276.06,276.9,278.2,276.1,276.98,276.68,277.12,"46,17,813","1,27,96,72,618.18","39,201","32,86,841",71.18,NIFTYBEES,ETF
240,NIFTYBEES,EQ,30-Jul-2024,276.68,268.4,277.96,268.4,276.9,277.1,277.15,"24,37,790","67,56,37,669.37","26,107","14,89,232",61.09,NIFTYBEES,ETF
241,NIFTYBEES,EQ,31-Jul-2024,277.1,277.2,278.09,276.8,278.0,277.75,277.52,"22,69,854","62,99,37,150.20","24,117","13,46,561",59.32,NIFTYBEES,ETF
242,NIFTYBEES,EQ,01-Aug-2024,277.75,273.01,279.11,273.01,278.45,278.33,278.46,"21,68,947","60,39,69,140.83","38,985","15,12,557",69.74,NIFTYBEES,ETF
243,NIFTYBEES,EQ,02-Aug-2024,278.33,276.67,277.28,275.5,275.7,275.69,276.31,"40,84,372","1,12,85,56,503.49","61,474","32,62,284",79.87,NIFTYBEES,ETF
244,NIFTYBEES,EQ,05-Aug-2024,275.69,272.99,273.0,266.56,270.6,269.48,269.42,"1,37,51,283","3,70,48,92,954.44","1,85,738","1,01,22,860",73.61,NIFTYBEES,ETF
245,NIFTYBEES,EQ,06-Aug-2024,269.48,271.88,272.94,267.2,268.27,267.61,269.31,"63,02,805","1,69,73,81,381.65","58,145","47,49,008",75.35,NIFTYBEES,ETF
246,NIFTYBEES,EQ,07-Aug-2024,267.61,269.5,271.44,269.18,271.28,271.1,270.57,"38,38,129","1,03,85,00,685.29","30,704","29,70,432",77.39,NIFTYBEES,ETF
247,NIFTYBEES,EQ,08-Aug-2024,271.1,270.75,271.18,268.75,269.18,269.33,269.62,"45,51,976","1,22,72,93,726.70","47,189","36,67,498",80.57,NIFTYBEES,ETF
